ID,Url,Price,Name,Manufacturer,Image,Image_Url,Is_ATX12V,Efficiency,Modular,Dimensions
1,https://www.jimms.fi/fi/Product/Show/172534/cp-9020200-eu/corsair-850w-rm850x-2021-modulaarinen-atx-virtalahde-80-plus-gold-musta,164.9,850w rm850x (2021),Corsair,PSU_337362-ig800gg.jpg,https://ic.jimms.fi/product/6/7/337362-ig800gg.jpg,True,80 plus gold,Yes,Atx
2,https://www.jimms.fi/fi/Product/Show/91555/sst-st50f-es-230b/silverstone-500w-strider-essential-st50f-es230-v2-0-atx-virtalahde-musta,49.9,500w strider essential st50f-es230 v2.0,SilverStone,PSU_226778-ig800gg.jpg,https://ic.jimms.fi/product/7/1/226778-ig800gg.jpg,,>80%  (20%-100% kuormalla),False,150 x 86 x 140mm
3,https://www.jimms.fi/fi/Product/Show/169775/a651bcafh/seasonic-650w-b12-bc-650-atx-virtalahde-80-plus-bronze-musta,79.9,650w b12 bc-650,Seasonic,PSU_329297-ig800gg.jpg,https://ic.jimms.fi/product/9/2/329297-ig800gg.jpg,True,Bronze,Kiinteät kaapelit,140 x 150 x 86 mm
4,https://www.jimms.fi/fi/Product/Show/166182/306-7zp0c11-ce0/msi-850w-mpg-a850gf-modulaarinen-atx-virtalahde-80-plus-gold-musta,159.9,850w mpg a850gf,MSI,PSU_304628-ig800gg.jpg,https://ic.jimms.fi/product/2/1/304628-ig800gg.jpg,,Jopa 90% (80 plus gold),Modular,140mm
5,https://www.jimms.fi/fi/Product/Show/164473/kl-c700-rgb/kolink-700w-core-rgb-kl-c700-atx-virtalahde-80-plus,59.9,700w core rgb kl-c700 atx-virtalähde,Kolink,PSU_307282-ig800gg.jpg,https://ic.jimms.fi/product/8/7/307282-ig800gg.jpg,,80+,False,120mm
6,https://www.jimms.fi/fi/Product/Show/191514/90ye00p3-b0na00/asus-750w-rog-strix-gold-aura-edition-atx-virtalahde-80-plus-gold-musta,214.9,750w rog strix gold aura edition,Asus,PSU_436608-ig800gg.jpg,https://ic.jimms.fi/product/0/1/436608-ig800gg.jpg,True,80 plus gold,Modular,180 x 150 x 86 mm
7,https://www.jimms.fi/fi/Product/Show/166959/sst-sx700-g-v-1-1/silverstone-700w-sx700-g-modulaarinen-sfx-virtalahde-80-plus-gold-musta,159.9,700w sx700-g,SilverStone,PSU_308803-ig800gg.jpg,https://ic.jimms.fi/product/0/6/308803-ig800gg.jpg,,87 % ~ 90 % @ 20 %  ~ 100 % kuormalla,,"125 x 63,5 x 100 mm"
8,https://www.jimms.fi/fi/Product/Show/193181/bn331/be-quiet-1300w-dark-power-pro-13-atx-virtalahde-80-plus-titanium-musta,459.9,1300w dark power pro 13,be quiet!,PSU_444592-ig800gg.jpg,https://ic.jimms.fi/product/9/7/444592-ig800gg.jpg,,Titanium,Yes,135 mm
9,https://www.jimms.fi/fi/Product/Show/121341/sst-st60f-es230/silverstone-600w-strider-essential-st60f-es230-atx-virtalahde-musta,64.9,600w strider essential st60f-es230,SilverStone,PSU_141302-ig800gg.jpg,https://ic.jimms.fi/product/0/7/141302-ig800gg.jpg,True,82 ~ 85% @ 20 ~ 100 % kuormituksella,False,150 x 86 x 140 mm
10,https://www.jimms.fi/fi/Product/Show/185382/rog-loki-750p-sfx-l-gaming/asus-750w-rog-loki-platinum-modulaarinen-sfx-l-virtalahde-pcie-5-0-musta-hopea,204.9,750w rog loki platinum,Asus,PSU_403726-ig800gg.jpg,https://ic.jimms.fi/product/2/3/403726-ig800gg.jpg,,80 plus platinum,,"125 x 125 x 63,5 mm"
